"Показник","Територіальний розріз","Тип будівлі","Тип місцевості","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Спеціальне значення даних","Примітки набору даних","Примітки часового ряду","Примітки спостереження","2018-Q1","2018-Q2","2018-Q3","2018-Q4","2019-Q1","2019-Q2","2019-Q3","2019-Q4","2020-Q1","2020-Q2","2020-Q3","2020-Q4","2021-Q1","2021-Q2","2021-Q3","2021-Q4","2022-Q1","2022-Q2","2022-Q3","2022-Q4","2023-Q1","2023-Q2","2023-Q3","2023-Q4","2024-Q1","2024-Q2","2024-Q3","2024-Q4","2025-Q1","2025-Q2","2025-Q3","2025-Q4"
"Загальна площа нежитлових будівель, прийнятих в експлуатацію","Україна","Будівлі оптово-роздрібної торгівлі","Загалом","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","201774","304810","569411","99804","216807","501353","894508","118560","278921","458016","672192","204935","1105866","1512440","1782723","104027","181119","294805","511176","123298","214989","333834","524793","101939","203104","349115","500431","111008","269879","464306",""
"Загальна площа нежитлових будівель, прийнятих в експлуатацію","Україна","Будівлі транспорту та зв'язку","Загалом","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","55827","76929","117630","11059","49208","71470","113212","46283","96818","129700","187304","69341","137550","181237","279072","7469","43297","133962","152489","9668","25346","43437","65333","9844","17738","56401","76120","6412","46232","77778",""
"Загальна площа нежитлових будівель, прийнятих в експлуатацію","Україна","Будівлі готельні та подібні будівлі","Загалом","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","67582","101069","184141","60711","88897","106553","156494","22040","63734","80121","123409","40176","82325","132665","177158","26039","76373","108312","143968","67533","94885","140084","174557","17515","115347","132801","242266","8549","73635","90099",""
"Загальна площа нежитлових будівель, прийнятих в експлуатацію","Україна","Будівлі громадського дозвілля, освіти, охорони здоров'я та соціального захисту","Загалом","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","104124","218599","316643","55399","94868","161075","217787","65886","144398","210128","321617","42152","99782","246004","322073","25802","273120","302613","344554","22986","34868","48595","83297","18701","56767","70062","103450","13718","28386","60390",""
"Загальна площа нежитлових будівель, прийнятих в експлуатацію","Україна","Нежитлові будівлі","Міська","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. З урахуванням прийнятих в експлуатацію нежитлових будівель відповідно до встановленого Порядку (наказ Мінрегіону від 03.07.2018 № 158 (зі змінами)). 3. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","","","","","2235567","340434","802490","1263235","1974607","509520","1581034","2554204","3187089","343755","770131","1131289","1574994","327237","616825","871308","1263912","229277","469247","686204","","","","",""
"Загальна площа нежитлових будівель, прийнятих в експлуатацію","Україна","Нежитлові будівлі","Сільська","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. З урахуванням прийнятих в експлуатацію нежитлових будівель відповідно до встановленого Порядку (наказ Мінрегіону від 03.07.2018 № 158 (зі змінами)). 3. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","","","","","1726703","441635","698520","967298","1469586","354582","768346","1245515","1761785","147839","291222","514881","918076","275209","509276","799899","1076438","261661","735911","1163485","","","","",""
"Загальна площа нежитлових будівель, прийнятих в експлуатацію","Україна","Нежитлові будівлі","Загалом","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. З урахуванням прийнятих в експлуатацію нежитлових будівель відповідно до встановленого Порядку (наказ Мінрегіону від 03.07.2018 № 158 (зі змінами)). 3. Показники наведено наростаючим підсумком.","Відомості відсутні.","","988914","1648992","2908378","590696","1289704","2439676","3962270","782069","1501010","2230533","3444193","864102","2349380","3799719","4948874","491594","1061353","1646170","2493070","602446","1126101","1671207","2340350","490938","1205158","1849689","2690954","617916","1472459","2272661","3268408"
"Загальна площа нежитлових будівель, прийнятих в експлуатацію","Україна","Інші нежитлові будівлі","Загалом","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","329582","569112","1027244","182503","462558","843691","1293536","349813","525736","788573","1219626","118649","288172","614626","923049","63686","118934","205330","390894","143934","225235","385547","504117","119610","284745","423009","591749","180460","429541","626113",""
"Загальна площа нежитлових будівель, прийнятих в експлуатацію","Україна","Офісні будівлі","Загалом","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","25865","35797","80782","44972","76549","138731","229838","38287","109316","154893","218636","62435","90671","295932","344765","55837","78042","131996","264142","44838","90864","103146","137726","32444","88387","125938","189453","26467","60404","101474","164523"
"Загальна площа нежитлових будівель, прийнятих в експлуатацію","Україна","Промислові та складські будівлі","Загалом","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","204160","342676","612527","136248","300817","616803","1056895","141200","282087","409102","701409","326414","545014","816815","1120034","208734","290468","469152","685847","190189","439914","616564","850527","190885","439070","692363","987485","271302","564382","852501",""
